ADM0_EN,ADM0_TH,ADM0_PCODE,ADM1_EN,ADM2_TH,ADM1_Pcode,Year,Both_TOTAL,Both_00_04,Both_05_09,Both_10_14,Both_15_19,Both_20_24,Both_25_29,Both_30_34,Both_35_39,Both_40_44,Both_45_49,Both_50_54,Both_55_59,Both_60_64,Both_65_69,Both_70_74,Both_75_79,Both_80plus,Male_TOTAL,Male_00_04,Male_05_09,Male_10_14,Male_15_19,Male_20_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_64,Male_65_69,Male_70_74,Male_75_79,Male_80plus,Female_TOTAL,Female_00_04,Female_05_09,Female_10_14,Female_15_19,Female_20_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_64,Female_65_69,Female_70_74,Female_75_79,Female_80plus
Thailand,ประเทศไทย,TH,AMNAT CHAROEN,อำนาจเจริญ,TH37,2020,203893,13701,14418,15321,12928,7921,8769,9820,14523,16884,16009,16484,16128,14003,10657,6753,4705,4869,100270,7048,7412,7766,6783,4318,4498,4828,7008,8405,8049,8059,7876,6574,4935,2856,1946,1909,103623,6653,7006,7555,6145,3603,4271,4992,7515,8479,7960,8425,8252,7429,5722,3897,2759,2960
Thailand,ประเทศไทย,TH,ANG THONG,อ่างทอง,TH15,2020,216643,11239,11677,12784,12140,10397,11673,11129,12604,14872,17200,17853,18340,15896,12452,10604,7350,8433,102162,5730,6113,6532,6454,5484,6183,5573,6175,7261,8044,8002,8069,7002,5232,4394,2962,2952,114481,5509,5564,6252,5686,4913,5490,5556,6429,7611,9156,9851,10271,8894,7220,6210,4388,5481
Thailand,ประเทศไทย,TH,BUENG KAN,บึงกาฬ,TH38,2020,306619,24210,24729,23136,17256,11942,15132,17491,22362,23599,22647,23642,22654,20342,15037,9306,6342,6792,151605,12318,12682,11830,8766,6314,7807,8601,10947,11908,10985,11448,11035,9928,7065,4320,2743,2908,155014,11892,12047,11306,8490,5628,7325,8890,11415,11691,11662,12194,11619,10414,7972,4986,3599,3884
Thailand,ประเทศไทย,TH,BURI RAM,บุรีรัมย์,TH31,2020,985709,73876,76559,76301,59169,37743,41310,46815,62988,71075,72116,74523,76162,72932,54666,36697,25178,27599,477460,37655,39296,39009,30316,19849,20994,22649,30043,34303,34387,35664,36078,34298,25262,16367,10696,10594,508249,36221,37263,37292,28853,17894,20316,24166,32945,36772,37729,38859,40084,38634,29404,20330,14482,17005
Thailand,ประเทศไทย,TH,CHACHOENGSAO,ฉะเชิงเทรา,TH24,2020,738516,41918,40500,41023,43814,47633,56498,50761,53963,58166,55636,54107,50735,44321,34380,25475,17143,22443,364128,21780,20762,21317,23159,25266,29984,26248,26849,29224,27365,25803,23642,20364,15499,11362,7237,8267,374388,20138,19738,19706,20655,22367,26514,24513,27114,28942,28271,28304,27093,23957,18881,14113,9906,14176
Thailand,ประเทศไทย,TH,CHAI NAT,ชัยนาท,TH18,2020,234108,12544,12263,12668,12390,9450,10087,10399,12922,16225,19580,20567,21814,18999,15192,11957,8053,8998,110885,6463,6241,6514,6564,5054,5277,5267,6334,7781,9164,9307,9775,8458,6666,5224,3411,3385,123223,6081,6022,6154,5826,4396,4810,5132,6588,8444,10416,11260,12039,10541,8526,6733,4642,5613
Thailand,ประเทศไทย,TH,CHAIYAPHUM,ชัยภูมิ,TH36,2020,764624,48386,49487,50481,42151,28678,31620,34884,49704,60527,61057,65708,64917,61227,44458,30625,20093,20621,371268,24337,25458,25734,22343,15264,16182,17051,23953,29494,29658,31391,30851,28654,20452,13829,8683,7934,393356,24049,24029,24747,19808,13414,15438,17833,25751,31033,31399,34317,34066,32573,24006,16796,11410,12687
Thailand,ประเทศไทย,TH,CHANTHABURI,จันทบุรี,TH22,2020,442591,25638,25461,25336,26471,27408,28324,27118,32175,35484,35793,35023,32285,26424,20544,15552,10770,12785,218130,13050,13274,13154,13528,14249,14910,13783,15953,17530,17476,16801,15254,12515,9833,7161,4722,4937,224461,12588,12187,12182,12943,13159,13414,13335,16222,17954,18317,18222,17031,13909,10711,8391,6048,7848
Thailand,ประเทศไทย,TH,CHIANG MAI,เชียงใหม่,TH50,2020,1809819,82764,86552,87685,123123,148813,126453,106116,107206,124894,150758,172825,152732,112502,72466,56250,47645,51035,887442,42393,43732,45016,62688,76364,65281,53853,53314,60515,71142,82203,73026,53747,34713,25979,21714,21762,922377,40371,42820,42669,60435,72449,61172,52263,53892,64379,79616,90622,79706,58755,37753,30271,25931,29273
Thailand,ประเทศไทย,TH,CHIANG RAI,เชียงราย,TH57,2020,1089821,57261,60507,63391,64121,56641,57404,54786,65145,80424,97386,109895,100763,75149,52406,37045,29072,28425,536094,28827,30920,32388,33440,29668,29542,27855,32421,38728,46783,52667,48491,36411,24954,17413,13374,12212,553727,28434,29587,31003,30681,26973,27862,26931,32724,41696,50603,57228,52272,38738,27452,19632,15698,16213
Thailand,ประเทศไทย,TH,CHON BURI,ชลบุรี,TH20,2020,2147385,36637,89726,90749,119893,184712,257041,220941,215607,196185,164873,142708,117584,116572,89142,46686,27591,30738,1080403,17002,41836,41138,53300,84841,123618,115245,115844,105199,87780,73876,59561,63453,51922,22441,11705,11642,1066982,19635,47890,49611,66593,99871,133423,105696,99763,90986,77093,68832,58023,53119,37220,24245,15886,19096
Thailand,ประเทศไทย,TH,CHUMPHON,ชุมพร,TH86,2020,441213,26312,24882,26114,26495,29419,32241,30197,34007,36123,33421,32140,27940,24391,18659,14344,11060,13468,223600,13292,12809,13522,14241,16147,17411,16138,17594,18916,16977,16027,13564,11495,8630,6746,4840,5251,217613,13020,12073,12592,12254,13272,14830,14059,16413,17207,16444,16113,14376,12896,10029,7598,6220,8217
Thailand,ประเทศไทย,TH,KALASIN,กาฬสินธุ์,TH46,2020,664356,41957,43672,45446,40035,26675,27415,31284,47040,56827,54306,55373,55360,51351,37946,21673,14142,13854,323948,21410,22508,23233,20659,13933,14045,15267,22792,28210,26729,27027,26243,23909,17257,9296,5990,5440,340408,20547,21164,22213,19376,12742,13370,16017,24248,28617,27577,28346,29117,27442,20689,12377,8152,8414
Thailand,ประเทศไทย,TH,KAMPHAENG PHET,กำแพงเพชร,TH62,2020,842777,52975,54150,54202,49440,41016,42703,44030,54073,64092,69030,70962,69957,59659,42588,31321,20920,21659,413133,27227,28041,27584,25502,21810,22398,21974,26890,31313,33452,33646,33447,27979,19705,14478,9182,8505,429644,25748,26109,26618,23938,19206,20305,22056,27183,32779,35578,37316,36510,31680,22883,16843,11738,13154
Thailand,ประเทศไทย,TH,KANCHANABURI,กาญจนบุรี,TH71,2020,778936,47792,49825,49836,48210,51887,51204,47984,55436,59318,59716,62966,56249,46804,34571,24270,15558,17310,386447,24796,25673,25879,25276,28697,26772,24404,27482,28925,28675,30203,26881,21873,16207,11127,6972,6605,392489,22996,24152,23957,22934,23190,24432,23580,27954,30393,31041,32763,29368,24931,18364,13143,8586,10705
Thailand,ประเทศไทย,TH,KHON KAEN,ขอนแก่น,TH40,2020,1630099,88042,88746,96337,112608,114797,88621,87042,111065,131214,126517,130826,127334,118882,86439,53189,33432,35008,790865,47588,45633,49250,56556,56376,44403,42489,53484,63849,61209,62541,60917,55440,39414,23861,14038,13817,839234,40454,43113,47087,56052,58421,44218,44553,57581,67365,65308,68285,66417,63442,47025,29328,19394,21191
Thailand,ประเทศไทย,TH,KRABI,กระบี่,TH81,2020,347995,26700,25006,22973,21905,24826,27770,25032,27852,27575,25452,22936,19578,15649,11534,8993,6495,7719,174610,13700,12926,11768,11591,13044,14061,12284,13924,14083,12765,11255,9428,7528,5505,4294,3075,3379,173385,13000,12080,11205,10314,11782,13709,12748,13928,13492,12687,11681,10150,8121,6029,4699,3420,4340
Thailand,ประเทศไทย,TH,KRUNG THEP MAHA NAKHON,กรุงเทพมหานคร,TH10,2020,10709136,421958,418750,436414,626912,995265,1126464,978271,983765,951611,849174,784336,655784,529162,350779,250786,153166,196539,5224009,213300,217867,224881,321790,479188,550367,488678,501752,478958,420022,381153,307811,240698,152993,110630,62418,71503,5485127,208658,200883,211533,305122,516077,576097,489593,482013,472653,429152,403183,347973,288464,197786,140156,90748,125036
Thailand,ประเทศไทย,TH,LAMPANG,ลำปาง,TH52,2020,632799,25957,27837,32896,34195,26484,24261,25829,36908,49180,60597,68085,63827,48764,35820,27549,21848,22762,311960,13252,14140,16897,18053,14387,12915,13049,17944,23878,29364,33457,31324,23929,16981,13014,10025,9351,320839,12705,13697,15999,16142,12097,11346,12780,18964,25302,31233,34628,32503,24835,18839,14535,11823,13411
Thailand,ประเทศไทย,TH,LAMPHUN,ลำพูน,TH51,2020,377527,14534,14795,16184,19184,22567,30907,24613,22457,26616,33365,37350,34795,25591,18634,13450,10788,11697,183601,7517,7447,8272,9961,11527,15496,12170,11043,12888,15918,17593,16416,12060,8943,6429,4990,4931,193926,7017,7348,7912,9223,11040,15411,12443,11414,13728,17447,19757,18379,13531,9691,7021,5798,6766
Thailand,ประเทศไทย,TH,LOEI,เลย,TH42,2020,446635,27317,26651,26625,25563,22195,22468,23862,30103,36873,37138,38927,35957,30937,23769,14939,10629,12682,222866,14085,13609,13766,13212,11560,11688,11875,14699,18607,18378,19220,17698,15160,11654,7132,4863,5660,223769,13232,13042,12859,12351,10635,10780,11987,15404,18266,18760,19707,18259,15777,12115,7807,5766,7022
Thailand,ประเทศไทย,TH,LOP BURI,ลพบุรี,TH16,2020,718935,37665,39960,41500,40950,50960,40536,39105,44660,54482,59547,60363,56906,47792,37131,27526,19362,20490,357763,19688,20706,21514,21598,32948,21579,19827,21765,26602,28540,28953,26560,21998,16579,12242,8594,8070,361172,17977,19254,19986,19352,18012,18957,19278,22895,27880,31007,31410,30346,25794,20552,15284,10768,12420
Thailand,ประเทศไทย,TH,MAE HONG SON,แม่ฮ่องสอน,TH58,2020,187041,13555,15780,14820,12205,11066,12686,11437,12434,13695,13624,13395,12373,9511,7226,5121,3720,4393,95485,6975,8119,7494,6203,5842,6474,5744,6257,7029,7015,6977,6185,4885,3684,2612,1820,2170,91556,6580,7661,7326,6002,5224,6212,5693,6177,6666,6609,6418,6188,4626,3542,2509,1900,2223
Thailand,ประเทศไทย,TH,MAHA SARAKHAM,มหาสารคาม,TH44,2020,655502,37558,40033,42387,45259,38192,25519,29634,43305,52085,50949,53671,55391,54168,38884,21872,14016,12579,315185,19285,20633,21745,22313,18340,13041,14439,20730,25426,24958,26187,26109,24850,17592,9350,5654,4533,340317,18273,19400,20642,22946,19852,12478,15195,22575,26659,25991,27484,29282,29318,21292,12522,8362,8046
Thailand,ประเทศไทย,TH,MUKDAHAN,มุกดาหาร,TH49,2020,365780,24495,25274,27278,23286,16377,19626,20951,27560,31134,28651,27892,26342,23552,16711,10892,7629,8130,181459,12545,12788,13670,11991,8728,10232,10494,13676,15921,14034,13738,12861,11227,7937,4889,3245,3483,184321,11950,12486,13608,11295,7649,9394,10457,13884,15213,14617,14154,13481,12325,8774,6003,4384,4647
Thailand,ประเทศไทย,TH,NAKHON NAYOK,นครนายก,TH26,2020,227464,12463,12050,12415,17487,15526,13001,12138,13884,16079,16919,17088,17259,14941,12306,9368,6526,8014,110870,6564,6114,6441,9144,8570,6965,6223,6860,7813,8235,8120,7856,6746,5351,4126,2804,2938,116594,5899,5936,5974,8343,6956,6036,5915,7024,8266,8684,8968,9403,8195,6955,5242,3722,5076
Thailand,ประเทศไทย,TH,NAKHON PATHOM,นครปฐม,TH73,2020,1028904,50556,49715,55426,75191,81805,82370,76975,81158,83856,80639,75883,67680,54717,39651,29605,19370,24307,502005,26124,25716,29904,38893,42460,42261,39159,39971,41503,38318,35255,30804,24460,17397,12928,7936,8916,526899,24432,23999,25522,36298,39345,40109,37816,41187,42353,42321,40628,36876,30257,22254,16677,11434,15391
Thailand,ประเทศไทย,TH,NAKHON PHANOM,นครพนม,TH48,2020,449625,32475,34484,34133,26695,18302,20796,24218,32487,35558,34217,34983,34286,31041,23099,13529,9211,10111,218924,16469,17587,17376,13724,9769,10611,11938,15943,17717,16783,16758,16102,14236,10344,5784,3712,4071,230701,16006,16897,16757,12971,8533,10185,12280,16544,17841,17434,18225,18184,16805,12755,7745,5499,6040
Thailand,ประเทศไทย,TH,NAKHON RATCHASIMA,นครราชสีมา,TH30,2020,2368321,143764,143754,147859,149158,143863,136981,141922,163075,184132,180886,185216,172412,154186,114918,84926,56103,65166,1162539,74155,74308,76766,76927,76254,70678,71334,80519,91595,87714,88222,81933,71963,52465,38596,24282,24828,1205782,69609,69446,71093,72231,67609,66303,70588,82556,92537,93172,96994,90479,82223,62453,46330,31821,40338
Thailand,ประเทศไทย,TH,NAKHON SAWAN,นครสวรรค์,TH60,2020,826586,44043,44772,46975,47763,42543,42233,40470,50839,61833,69912,71478,70709,61308,46297,35810,23722,25879,398859,22656,22976,24145,24980,22223,21683,20356,25121,30129,33482,33398,32764,28128,20779,15910,10221,9908,427727,21387,21796,22830,22783,20320,20550,20114,25718,31704,36430,38080,37945,33180,25518,19900,13501,15971
Thailand,ประเทศไทย,TH,NAKHON SI THAMMARAT,นครศรีธรรมราช,TH80,2020,1260910,77881,78175,79699,78261,72530,73912,72687,87396,92956,93192,89954,86655,80160,66435,48726,36509,45782,619423,40165,40653,41410,40694,38959,39347,37101,43692,46832,45984,42981,40566,36643,29893,21638,15494,17371,641487,37716,37522,38289,37567,33571,34565,35586,43704,46124,47208,46973,46089,43517,36542,27088,21015,28411
Thailand,ประเทศไทย,TH,NAN,น่าน,TH55,2020,402916,22779,22622,25529,22771,14908,16163,17047,22925,32704,38560,40764,37448,27225,22951,15196,11695,11629,200848,11714,11597,12965,12276,8444,8524,8376,11098,15917,19034,20095,18697,13438,10989,7203,5422,5059,202068,11065,11025,12564,10495,6464,7639,8671,11827,16787,19526,20669,18751,13787,11962,7993,6273,6570
Thailand,ประเทศไทย,TH,NARATHIWAT,นราธิวาส,TH96,2020,610304,52026,54552,50912,47275,45082,45417,36307,39111,40838,39969,33626,35276,29950,21709,16247,10713,11294,303474,26526,27940,25866,24436,23255,23134,17987,19177,20474,19665,16558,17249,14374,9986,7038,4844,4965,306830,25500,26612,25046,22839,21827,22283,18320,19934,20364,20304,17068,18027,15576,11723,9209,5869,6329
Thailand,ประเทศไทย,TH,NONG BUA LAMPHU,หนองบัวลำภู,TH39,2020,438010,32220,33253,32977,25432,16634,19241,21729,29388,35160,34074,36174,36179,31901,22512,13645,8614,8877,212826,16392,17269,16853,13053,8808,9536,10289,13908,17369,16574,17343,17296,14683,10420,6112,3575,3346,225184,15828,15984,16124,12379,7826,9705,11440,15480,17791,17500,18831,18883,17218,12092,7533,5039,5531
Thailand,ประเทศไทย,TH,NONG KHAI,หนองคาย,TH43,2020,379636,25445,27475,29250,23333,16277,17328,20295,26792,30455,30039,31375,28857,25493,18922,11980,8169,8151,184002,12676,13912,15124,12119,8284,8687,9749,12920,14880,14640,14884,13466,11953,8597,5207,3513,3391,195634,12769,13563,14126,11214,7993,8641,10546,13872,15575,15399,16491,15391,13540,10325,6773,4656,4760
Thailand,ประเทศไทย,TH,NONTHABURI,นนทบุรี,TH12,2020,1940476,73988,75123,85054,103698,136817,155531,152834,164430,183716,171170,159204,135801,124779,86957,57638,36375,37361,926540,36491,36926,43678,53978,71431,78388,76738,77718,92527,81496,74542,56845,55258,37148,24894,16183,12299,1013936,37497,38197,41376,49720,65386,77143,76096,86712,91189,89674,84662,78956,69521,49809,32744,20192,25062
Thailand,ประเทศไทย,TH,PATHUM THANI,ปทุมธานี,TH13,2020,2352209,97052,95748,93503,147255,245768,259106,219658,220035,212217,179362,155854,130591,107105,77799,49933,28709,32514,1144041,49653,49427,48022,68649,115479,128988,108438,108343,107536,89480,75764,60615,48797,35706,23415,12635,13094,1208168,47399,46321,45481,78606,130289,130118,111220,111692,104681,89882,80090,69976,58308,42093,26518,16074,19420
Thailand,ประเทศไทย,TH,PATTANI,ปัตตานี,TH94,2020,557875,46580,49890,48149,47516,45214,37302,30841,33035,34457,33894,29523,31112,26923,21431,17244,11773,12991,272475,23675,25361,24175,23940,23963,19476,15329,16093,16734,16137,13991,14371,12350,9408,7294,4900,5278,285400,22905,24529,23974,23576,21251,17826,15512,16942,17723,17757,15532,16741,14573,12023,9950,6873,7713
Thailand,ประเทศไทย,TH,PHANGNGA,พังงา,TH82,2020,254114,18750,16650,15520,14846,16068,19535,17798,19282,20207,18693,18030,16345,13009,10190,7391,5418,6382,129864,9489,8432,8064,8040,8843,10697,9523,9941,10592,9432,8947,7912,6336,4889,3515,2505,2707,124250,9261,8218,7456,6806,7225,8838,8275,9341,9615,9261,9083,8433,6673,5301,3876,2913,3675
